icao,iata,name,lat,lon,tz,country
08OH,,Kenley Airport,41.291722,-80.563684,America/New_York,US
08OK,,Parks Airport,34.931486,-95.258303,America/Chicago,US
08OL,,Broken B Airport,35.408088,-98.605478,America/Chicago,US
08OR,,Saxon Sycan Airport,42.839312,-121.117217,America/Los_Angeles,US
08TN,,Ptc Airport,35.298914,-86.474357,America/Chicago,US
08TS,,Flying G Ranch Airport,32.029339,-97.010608,America/Chicago,US
08TT,,Lz Tango Charlie Airport,30.308803,-99.022228,America/Chicago,US
08TX,,Cross Wind Airport,32.858181,-97.747529,America/Chicago,US
08UT,,Pinelodge Rwy Airport,38.335017,-109.135176,America/Denver,US
08WA,,P-L Ranch Airport,46.970417,-122.725889,America/Los_Angeles,US
08WI,,Faikel Airfield,44.581986,-88.14225,America/Chicago,US
08XA,,Knolle Ranch Airport,30.479253,-96.504031,America/Chicago,US
08XS,,Peterson Airport,29.108056,-95.7775,America/Chicago,US
09AK,,West Beaver Airport,61.589361,-149.847333,America/Anchorage,US
09AN,,Kachemak Landing Airport,59.672108,-151.657857,America/Anchorage,US
09AZ,,Stronghold Airport,31.925333,-110.038167,America/Phoenix,US
09CL,,Alta Sierra Airport,39.112064,-121.055189,America/Los_Angeles,US
09CO,,Cottonwood Field,38.055563,-103.65328,America/Denver,US
09FA,,Placid Lakes Airport,27.245602,-81.413129,America/New_York,US
09FD,,Cheryl-Lane Landings Airport,28.671104,-82.087307,America/New_York,US
09GA,,Sunbelt Strip,31.111298,-83.684058,America/New_York,US
09GE,,Elliott Field,34.458418,-84.180371,America/New_York,US
09IA,,Skydive Iowa Airport,41.745832,-92.409351,America/Chicago,US
09ID,,Taylor Ranch Landing Area Airport,45.103889,-114.855278,America/Boise,US
09IN,,Gordon Airport,41.12088,-85.424977,America/Indiana/Indianapolis,US
09KS,,Coffman Airport,38.706953,-95.138303,America/Chicago,US
09LL,,Pine Hill Airport,42.468072,-88.743159,America/Chicago,US
09ME,,Perrotti Skyranch Airfield,43.340833,-70.854722,America/New_York,US
09MT,,Paint Creek Ranch Airport,45.909346,-113.763183,America/Denver,US
09NC,,William Irving Lewis Airport,35.329325,-79.030025,America/New_York,US
09NE,,Summer Hill Farm Airport,41.333331,-96.193632,America/Chicago,US
09NR,,Dakota Air Ranch Airport,35.65,-79.65,America/New_York,US
09OK,,Ragtime Aerodrome,36.354539,-95.863883,America/Chicago,US
09PA,,Eagle Field,40.827004,-77.98806,America/New_York,US
09TA,,Xwind Farm Airport,33.724417,-96.298306,America/Chicago,US
09TS,,Pitcock Rosillos Mountain Ranch Airport,29.482631,-103.162978,America/Chicago,US
09UT,,Rustler Canyon Airstrip,38.275825,-109.729678,America/Denver,US
09VA,,Alum Ridge Airport,36.976518,-80.493944,America/New_York,US
09WI,,Parkway Farm Strip,44.003573,-91.307644,America/Chicago,US
0AA1,CYT,Yakataga Airport,60.080849,-142.495494,America/Anchorage,US
0AA4,FWL,Farewell Airport,62.509183,-153.890626,America/Anchorage,US
0AA5,,Rangeview Airstrip,62.312778,-150.335833,America/Anchorage,US
0AA7,,Kalifonsky Meadows Airport,60.491539,-151.235253,America/Anchorage,US
0AK0,,Scotts Airport,64.3925,-146.862083,America/Anchorage,US
0AK1,,Anderson Lake Airport,61.616881,-149.321539,America/Anchorage,US
0AK2,,Yentna Bend Strip,61.724733,-150.683428,America/Anchorage,US
0AK3,,Parker Lake Airport,62.034825,-150.491044,America/Anchorage,US
0AK5,,Young Creek Airport,61.356514,-142.733444,America/Anchorage,US
0AK6,,Victory Airport,61.803374,-147.944153,America/Anchorage,US
0AK7,,Bradley Lake Hydroelectric Project Airstrip,59.776069,-150.958514,America/Anchorage,US
0AK8,,Fireweed Airport,61.426878,-142.978833,America/Anchorage,US
0AK9,,Falcon Lake Strip,61.33255,-150.059053,America/Anchorage,US
0AL1,,Resort Airport,30.443889,-87.656944,America/Chicago,US
0AL5,,Flomaton Airport,31.032222,-87.252778,America/Chicago,US
0AL9,,Wilson Creek Airport,34.85,-87.6325,America/Chicago,US
0AR2,,Mission Field-Marotti Memorial Airport,35.266754,-90.350099,America/Chicago,US
0AR3,,Bent Hickory Air Ranch Airport,34.328029,-93.259289,America/Chicago,US
0AZ1,,Eagletail Airport,33.395657,-113.222527,America/Phoenix,US
0AZ2,,Western Sky Airpark,33.778056,-113.641667,America/Phoenix,US
0AZ4,,Flying Bucket Ranch Airport,32.98227,-112.287093,America/Phoenix,US
0AZ5,,Castle Well Airport,33.865866,-112.603368,America/Phoenix,US
0CA0,,Pom Wonderful Airstrip,36.652744,-119.587114,America/Los_Angeles,US
0CA4,,Shepherd Farm Airport,34.622209,-120.065422,America/Los_Angeles,US
0CA5,,Hoffman Airport,33.143098,-116.745299,America/Los_Angeles,US
0CA6,,Emory Ranch Airport,32.749444,-116.016111,America/Los_Angeles,US
0CA9,,Blech Ranch Airport,35.594969,-120.338765,America/Los_Angeles,US
0CD2,,Foxx Valley Airport,38.6525,-104.2345,America/Denver,US
0CD5,,Pinon Canyon Airport,37.490683,-104.144124,America/Denver,US
0CD7,,Fox Hole Airport,40.004722,-105.071944,America/Denver,US
0CL0,,Yosemite Hidden Lake Ranch Airport,37.118003,-119.913214,America/Los_Angeles,US
0CL1,,Krey Field,34.569436,-117.555556,America/Los_Angeles,US
0CL3,,John Nichol's Field,32.633372,-116.890311,America/Los_Angeles,US
0CN1,,Fiorini Ranch Airport,37.452178,-120.764758,America/Los_Angeles,US
0CN2,,Sutter Butte Dusters Airport,39.228622,-121.688265,America/Los_Angeles,US
0CO1,,Dave's Airport,40.033318,-105.123873,America/Denver,US
0CO2,CSE,Crested Butte Airpark,38.851937,-106.932821,America/Denver,US
0CO5,,Lebeau Ranch Airport,39.303217,-104.414033,America/Denver,US
0CO6,,Flying M & M Ranch Airport,38.219434,-108.213133,America/Denver,US
0CO9,,Van Treese Airport,37.658334,-106.033913,America/Denver,US
0FA1,,Ott's Landing Airport,27.303935,-81.880361,America/New_York,US
0FD0,,The 2A Ranch Airport,29.267479,-81.230061,America/New_York,US
0FD3,,Dugger Field,30.496417,-86.093833,America/Chicago,US
0FD4,,Yoder Field,30.607486,-85.025292,America/Chicago,US
0FD5,,Breezy Knoll Airport,30.820183,-86.344392,America/Chicago,US
0FD9,,Joy Farms Airport,30.652136,-86.109384,America/Chicago,US
0FL0,,Harpers Fly-In Ranch Airport,26.708039,-81.175708,America/New_York,US
0FL9,,Mc Daniel Ranch Inc Airport,26.393889,-81.023056,America/New_York,US
0GA0,,Halls Flying Ranch Airport,33.356226,-84.367146,America/New_York,US
0GA1,,Mustang Field,34.477881,-82.897087,America/New_York,US
0GA2,,"Airnautique, Inc Airport",34.382269,-82.945486,America/New_York,US
0GA3,,Ayresouth Airport,33.770106,-85.060779,America/New_York,US
0GA6,,Sunset Strip,33.733446,-83.818791,America/New_York,US
0GA8,,Paso Fino Farm Airport,30.887141,-83.41599,America/New_York,US
0GA9,,Gentle Landings Air Park,32.713596,-84.028539,America/New_York,US
0GE0,,Pinewood Airport,33.782051,-84.800771,America/New_York,US
0GE1,,Crystal Lake Airpark,31.665461,-83.447106,America/New_York,US
0GE3,,Lookout Mountain Airport,34.902803,-85.460406,America/New_York,US
0GE4,,Pecan Patch Airstrip,33.331389,-84.266667,America/New_York,US
0GE5,,Mountain Airpark,34.561763,-83.713513,America/New_York,US
0GE7,,Carpenter Airport,33.520278,-82.3725,America/New_York,US
0GE9,,Pegasus Ranch Airport,32.693889,-81.798611,America/New_York,US
0IA4,,Sharar Field,41.027844,-91.063474,America/Chicago,US
0IA5,,Moore Airport,40.872225,-93.262709,America/Chicago,US
0IA8,,Hannen Airport,42.228,-91.751,America/Chicago,US
0ID0,,South Fork Ranch Airport,43.60645,-115.10725,America/Boise,US
0ID1,,Ziggy's Airport,42.641211,-114.605433,America/Boise,US
0ID2,,Flying Joseph Ranch Airport,44.443829,-113.775089,America/Boise,US
0ID3,,Coyote Run Airport,43.075783,-115.672883,America/Boise,US
0ID4,,Black Butte Ranch Airport,43.047683,-114.470325,America/Boise,US
0ID7,,Z X Ranch Airport,43.230308,-116.763192,America/Boise,US
0ID8,,Pinnacle Airport,45.775197,-116.178475,America/Los_Angeles,US
0ID9,,Corral Creek Airport,46.785278,-116.471131,America/Los_Angeles,US
0II0,,Chuck's Airport,40.260042,-85.253303,America/Indiana/Indianapolis,US
